time_m,average_excess_return,INDPRO,AWHMAN,AWHNONAG,AWOTMAN,DSPI,DSPIC96,PI,CE16OV,CLF16OV,PAYEMS,MANEMP,DMANEMP,NDMANEMP,USCONS,USFIRE,USGOOD,USGOVT,USMINE,USPRIV,USSERV,USTPU,USTRADE,USWTRADE,SRVPRD,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,UEMPLT5,UEMPMEAN,UEMPMED,UNEMPLOY,UNRATE,PCE,PCEDG,PCEND,PCES,HOUST,HOUST1F,HOUST2F,CURRSL,DEMDEPSL,M1SL,OCDSL,SAVINGSL,STDCBSL,STDSL,STDTI,SVGCBSL,SVGTI,SVSTCBSL,TCDSL,CPIAUCSL,PFCGEF,PPICPE,PPICRM,PPIFCF,PPIFGS,PPIIFF,PPIITM
1952-06,-0.00964988435466664,-0.015947721415261462,40.2,,,,,,-0.004126805091338781,-0.0022730030340039065,-0.002883071740354737,-0.008193714370309024,-0.01838590389089667,0.005571045049455492,-0.0014732967674166986,0.005086480956373762,-0.00823184521421183,0.0037177528136176363,-0.030199739863632225,-0.003952955398025537,0.0011204482964890516,-0.0012689737658728717,0.003714615417182543,-0.00020906943271992162,0.00040175433263200944,0.17294160266413972,-0.07924937165414025,-0.11163997114266966,-0.014815085785141235,-0.007553539900908568,0.20000000000000018,,0.05523984892788736,0.20000000000000018,,,,,,,,0.0,,,,,,,,,,,,3.178764047810248e-05,1.0644856538384895e-05,0.0,0.0,0.00012009998324326766,1.0575734154252358e-05,,1.3175216101002597e-05
1952-07,-0.005393700353446916,0.062324884396709024,40.7,,,,,,-0.003022689152746949,-0.0013727503185290146,0.016092324973421057,0.038155765652399865,0.06325900658334938,0.003644145678990185,0.0018412820521573892,0.0010141988698952886,0.035491411913277204,-0.002824230788423421,0.09337864148516406,0.01913659316360139,0.0033538320984316528,0.00477467411350041,0.002945449980733983,0.0012955264365022146,0.004042029187468543,0.01901526611348725,0.08399997441273843,0.159759219486868,-0.07755823434587406,0.0675877848429689,0.09999999999999964,,0.04709060301300472,0.19999999999999973,,,,,,,,0.0037383221106073172,,,,,,,,,,,,1.4043184313133136e-07,0.0,0.0,8.329024220108796e-06,0.0,1.0575734154252358e-05,,1.3175216101002597e-05
1952-08,-0.004398337325219749,0.03561070412125522,41.1,,,,,,0.012151989354148185,0.009329776362951847,0.00806160467102579,0.017774209491845383,0.026444908164426906,0.005362788877794955,0.0018378979626705316,0.002531006160041649,0.014580422979751262,0.00237882954878188,-0.0010746911297658812,0.008963169734085952,0.0011154490838656272,0.00484872943745529,0.005418190629034925,0.0010018367844111253,0.0039261404617079165,-0.07648170398174603,0.16559476298864073,0.2164095191328652,0.031748698314579826,-0.11679926774625127,0.5,,-0.07510363924067853,-0.2999999999999998,,,,,,,,0.0037243990909821,,,,,,,,,,,,5.065036475298618e-06,1.0644856538384895e-05,1.4849996473141448e-05,0.000690579768663873,6.737094253947522e-05,1.0644856538384895e-05,,0.0
1952-09,0.0011845040824483462,0.010155030012823474,41.2,,,,,,-0.006448266481374532,-0.007811786277519772,0.005600669734548092,0.008770020682518975,0.011568321885485844,0.004708106625180619,-0.010336009330662144,0.0030287756621607542,0.0055039341393943175,0.012103468788133398,-0.003231020581446309,0.00456851802592162,0.0011142062434039701,0.003958489359201067,0.004863527125817058,0.0018340980547879582,0.005662360532060262,0.012856008101534755,-0.0793735875415118,-0.26452876747706355,0.31845373111853537,-0.07342746855481685,1.0,,-0.05140204323220132,-0.10000000000000009,,,,,,,,0.0037105793965359624,,,,,,,,,,,,5.065036475298618e-06,4.27189166485972e-05,0.0,0.0,3.0356307155350154e-05,1.0714658814018184e-05,,1.3175216101002597e-05
1952-10,0.007172390378419645,0.020000718298240017,41.2,,,,,,0.01019201410243653,0.008356012689134218,0.004405869539459317,0.009704195647964653,0.012285823034941856,0.005931956201830957,0.0044428062712036365,0.0030196298737203975,0.008302226364264698,-0.0022031293335142976,-0.004324331063003228,0.005454813283183313,0.0022246950221109785,0.0028865602646561683,0.0035918998986179673,0.0025787145679458945,0.0019133079664044317,-0.105766112905326,-0.06280090123903026,0.04811924834419834,-0.27264419508724114,-0.03193304710300904,0.40000000000000036,,-0.053614179084299884,-0.20000000000000018,,,,,,,,0.007380107297622285,,,,,,,,,,,,0.0,0.0,1.4965112581306428e-05,8.779162365488413e-06,6.925274366043363e-05,1.0785149927071181e-05,,1.3271385455235854e-05
1952-11,0.007234072270482514,0.00564322936737538,41.2,,,,,,0.003385321469439262,0.002078138736260726,0.00700128882582618,0.008172034414913654,0.012661068054669045,0.0015552102668063839,0.002582550780513948,0.0030105391528714165,0.007010749488813417,0.019511393573294455,0.0,0.005008938422886189,0.004434597067865198,0.002590799318959114,0.003097223022152207,0.00422798557284132,0.006995217279797572,-0.19415601444095731,0.0969922659873097,-0.10610650599454807,0.43969827975040676,0.026202372394023676,-0.6999999999999993,,-0.04458216276922666,-0.09999999999999964,,,,,,,,0.0036697288889628865,,,,,,,,,,,,5.610964348020652e-07,0.0,1.4965112581306428e-05,0.0005772092541871273,0.0005078787339174392,4.3569029681747487e-05,,1.33686116139897e-05
1952-12,0.009104394460505018,0.002804652588443979,41.1,,,,,,0.010542389202010227,0.012978129167136032,-0.00043864022236661526,0.005867682253379414,0.008976158796345501,0.0012424291084158767,0.0051451785685383555,0.004000005333345769,0.005644417619677711,-0.02054118402840288,0.0032450001433277365,0.002748872730352403,-0.0022148403295521035,0.00047904192532932655,0.0003413140624406452,0.0017357528017907242,-0.004362164381143785,0.14424960884454663,0.1187163068393815,0.30065723131491495,-0.17848278048678878,0.014265577158822929,0.5,,0.09819634185352655,0.19999999999999973,,,,,,,,0.003656311203110274,,,,,,,,,,,,6.8863282808499685e-06,1.0714658814018184e-05,0.0,0.00014963573053247264,8.093752634687697e-06,1.0928235190198044e-05,,1.33686116139897e-05
1953-01,0.017126006551435827,0.005595889412395305,41.0,,,,,,0.004599794317348582,0.0012760026621236875,0.003881258417695932,0.005647803996318146,0.008690309191976553,0.0010858606511749969,0.013110165924206996,0.0034869275678968137,0.00606644598440198,0.0004414686261089429,-0.00758811229049261,0.004419286297503433,0.004424785980355672,0.0022006419444160485,0.0034467590533857617,0.0013616953144932609,0.002462206394850952,-0.13688761240347702,-0.25344890080953864,-0.3543099448072349,-0.07145896398214457,0.008462673918733898,-0.9000000000000004,,-0.11696770744162865,-0.2999999999999998,,,,,,,,0.0036429912785012064,,,,,,,,,,,,3.5292898173617513e-06,1.0714658814018184e-05,0.0,9.496668647781861e-06,7.326081869128438e-05,1.0928235190198044e-05,,0.0
1953-02,0.021041727640867376,0.008335554913902588,41.2,,,,,,0.002033997504964802,0.002154478451192432,0.0026584152465325417,0.006907638173428765,0.010248091329501108,0.001858736594625654,-0.013110165924206996,0.002483239418607397,0.0034213869853250145,-0.0019144398749002534,-0.008743225095728668,0.003370364644498025,0.0022050725583140363,0.003625266324947418,0.0037139876161091934,-0.0009075908213764805,0.0021617380925000873,0.08435912612343799,0.023754086008107578,0.01562531790308075,0.036367644170874236,-0.03720028368609096,0.09999999999999964,,0.006701213014948415,0.0,,,,,,,,0.0036297680505787966,,,,,,,,,,,,2.2595939180202226e-06,9.580506862404859e-05,5.917218118608581e-05,0.0,3.302964410573709e-05,1.0928235190198044e-05,,1.3271385455235854e-05
1953-03,0.027227119433467426,0.004141865870461281,40.9,,,,,,-0.009169471474887558,-0.007727282504770727,-0.0007531613310405305,0.0014126464898716051,0.001019056442006061,0.00200974018329525,-0.007727729349052304,0.0024770882123617,-5.022980135116484e-05,-0.002065811565417519,-0.0032985186586644843,-0.0005494883028553943,0.0032985186586644843,-0.0018109903438823238,-0.011889268412847542,-0.001197629662651245,-0.0012113078693776202,0.0881343417342535,-0.16833531481921504,-0.15933203856925537,-0.182321556793954,0.09451474028207141,-0.7000000000000002,,0.045111506350289154,0.10000000000000009,,,,,,,,0.0036166404701880595,,,,,,,,,,,,5.065036475298618e-06,0.0,0.0,0.0006250651119665983,0.00013442855263470148,1.0928235190198044e-05,,0.0
