time_m,excess_return_2,excess_return_3,excess_return_4,excess_return_5,average_excess_return,risk_free_rate,forward_1_2,forward_2_3,forward_3_4,forward_4_5
1982-03,0.048688168924602454,0.0862226825655038,0.11977791089386988,0.14247371293649166,0.09929061883011694,0.13656610326598098,0.13988250575070163,0.13945292354039707,0.14092567549330864,0.12074467590702831
1982-04,0.05022934374473931,0.08473150257624179,0.11139420697100771,0.13434898376344462,0.09517600926385836,0.13304825785073088,0.13685535634838503,0.13248442120026266,0.1292927700305055,0.12511592755309475
1982-05,0.040312556427663376,0.07233636336795521,0.09558931702172693,0.11585776327495464,0.08102400002307504,0.12812127709242463,0.13284901324839102,0.13557368624229282,0.12835560253969736,0.132219562628219
1982-06,0.04766197484636131,0.0856932159024491,0.10852642456195877,0.1450321508707183,0.09672844154537187,0.1396287907543453,0.14165076584450886,0.1444891579267532,0.1277201496500624,0.14800001064473456
1982-07,0.03143003497514853,0.05362511836665022,0.06029468125434463,0.0813535332718159,0.05667584196698981,0.12238920394166401,0.1341822721278993,0.13410725270840834,0.12137589975179314,0.1481838921197185
1982-08,0.017154517494698096,0.03525537334354961,0.05152935897412242,0.046944808266002946,0.03772101451959327,0.11234516755383622,0.1203699968585748,0.13176207359904124,0.13307481728891118,0.12214637624823926
1982-09,0.02059808134698221,0.027496298324415552,0.0236114377879435,0.03771370208014113,0.0273548798848706,0.10202543384568974,0.11682373429979714,0.11640526174225374,0.11038602314137075,0.12520801600124143
1982-10,0.009693425989244414,0.015895714931377022,-0.0057439287597362415,-0.018510331120498394,0.0003337202600967003,0.09422604844963518,0.10501029863459226,0.11764043539104574,0.09479879572788624,0.10633724658511284
1982-11,0.005379129124161941,0.005182895171524718,0.012074546601974365,-0.012677473405209486,0.0024897743731128845,0.09210932045847882,0.10215980394606734,0.11091389834405016,0.118757191080471,0.09915137469184276
1982-12,0.0024038909155421895,-0.0005229653040098869,-0.0012029408499120708,-0.018318599642933697,-0.004410153720328366,0.08467533603541533,0.10096988445222799,0.10965504343750293,0.1110780580080567,0.10726088792563199
1983-01,0.0046739722647907295,0.006729678162829211,-0.0049462996745238685,-0.0013587161053248975,0.0012746586619427937,0.08711861387500086,0.10029135971062722,0.11346690961005565,0.09913547350055851,0.12291385232844798
1983-02,-0.0010038503160749446,-0.013475951565402683,-0.017476143509508102,-0.035345363359784165,-0.016825327187692474,0.08476724254513845,0.0981736668971527,0.1031035400321296,0.11090652535281353,0.10574391622779378
1983-03,-0.004166196336517131,-0.016476378577506542,-0.03956880497780253,-0.04665213406199832,-0.02671587848845613,0.09119433682609919,0.1019184098994957,0.10737044716494257,0.09804887386440653,0.12159235025028325
1983-04,-0.009077931021175836,-0.03104927013451629,-0.050368056242220446,-0.0668185807957201,-0.03932845954840817,0.0866260126036457,0.09798226236876019,0.10263006563573956,0.10216115076065785,0.11226454867252628
1983-05,-0.015375423486313614,-0.0435555916574636,-0.06706077884637442,-0.08920917373927507,-0.05380024193235668,0.09253645682072766,0.10354987930200098,0.10510264888592563,0.11195111637499128,0.11524837169197877
1983-06,-0.01240912320934226,-0.044412813369436435,-0.07076924233529343,-0.08510255809770824,-0.05317343425294509,0.09398879099814757,0.1064579168706654,0.10488694099055274,0.11149428433597502,0.12121331042798034
1983-07,-0.0036485414308476266,-0.017945667473300772,-0.01565605400283658,-0.021732811097642066,-0.014745768501156761,0.10275223715275077,0.11191216931690666,0.11470633686409873,0.12712504010224723,0.12025338565484456
1983-08,-0.0035045666106461176,-0.012229958198284319,-0.010288486459836932,-0.011524702095825012,-0.009386928341148095,0.1032154793638767,0.11366121775018972,0.11680083165833838,0.12673092695635874,0.12729772574540543
1983-09,-0.0015725177842493415,-0.01146698254641662,-0.023085934098997896,-0.016792648165025792,-0.013229520648672412,0.09622565295281493,0.1095070447648204,0.1142708836778428,0.1111057517090438,0.13336692930407468
1983-10,0.010236418105822015,0.011440944580833931,0.014490938446116916,0.017595409411643434,0.013440927636104074,0.09531687264534784,0.11143814644891313,0.1164384394189995,0.119103648945875,0.11954759714953439
1983-11,0.016589412588045138,0.018926432469180174,0.02894120577388258,0.019930707801766964,0.021096939658218714,0.0967806748219054,0.11111013229668738,0.11186553965002136,0.12390339469902661,0.11267140229781525
1983-12,0.0224026838357394,0.028613360234740176,0.03713122566892427,0.04403743400176438,0.033046175935292056,0.0985659935366858,0.112581899657055,0.11175803355395889,0.12437654671865361,0.12136416228521996
1984-01,0.02303594910968003,0.028886025393252954,0.038757852757352315,0.04064663960656455,0.03283161671671246,0.09561738744583649,0.11141120371201717,0.11081145133791159,0.11932626875924901,0.12130311833161345
1984-02,0.018812690301018842,0.022716048679310236,0.030308462620689147,0.02510762709313974,0.02423620717353949,0.09917751721322765,0.11557564128145734,0.11490671729691895,0.12361313607806984,0.12178329588279296
1984-03,0.023812329459870343,0.03650627390944765,0.0496657422468509,0.050114075784750814,0.040024605350229926,0.10608460623601283,0.11968062940593198,0.12114130026470252,0.12867567933447904,0.1262070975972866
1984-04,0.03537735125161781,0.05077507477915258,0.06853686143067941,0.07874432685475938,0.058358403579052295,0.10706019338993603,0.12460140474908002,0.121479936868362,0.12871507322602593,0.13244380068324196
1984-05,0.053013942672386544,0.09433266880434271,0.12946959710242267,0.16264055999570015,0.10986419214371301,0.11892530278831459,0.13328281705707562,0.1354563035639021,0.13739676658487943,0.14532297237725111
1984-06,0.05967702832595494,0.1026068846433024,0.1322517482659672,0.16296971603142174,0.11437634431666158,0.11886704008000766,0.13689063115064692,0.13785071330183202,0.13554662619039515,0.13908597805045975
