time_m,INDPRO,AWHMAN,AWHNONAG,AWOTMAN,DSPI,DSPIC96,PI,CE16OV,CLF16OV,PAYEMS,MANEMP,DMANEMP,NDMANEMP,USCONS,USFIRE,USGOOD,USGOVT,USMINE,USPRIV,USSERV,USTPU,USTRADE,USWTRADE,SRVPRD,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,UEMPLT5,UEMPMEAN,UEMPMED,UNEMPLOY,UNRATE,PCE,PCEDG,PCEND,PCES,HOUST,HOUST1F,HOUST2F,CURRSL,DEMDEPSL,M1SL,OCDSL,SAVINGSL,STDCBSL,STDSL,STDTI,SVGCBSL,SVGTI,SVSTCBSL,TCDSL,CPIAUCSL,PFCGEF,PPICPE,PPICRM,PPIFCF,PPIFGS,PPIIFF,PPIITM
1982-03,0.7961285464938727,-2.819489571586565,4.187309098105893,0.6114262110764389,-0.1273977795566912,,0.004851365474735199,-0.2868502694567138,0.6030362062308937,-0.11317628607471228,-0.264678488270468,-0.33198068990645263,-0.14681587652796216,2.173075638766646,-0.12551794211424006,0.31411025274338406,-0.8315695601478416,-0.6867125522675984,0.09693607861959487,0.06021356663296167,-0.0437386345810363,0.05385041125556538,-0.16004979346796314,-0.3402974394416343,-0.07681967959523497,2.3831263447575024,2.2051100257515897,1.0206402808936579,-0.24767758092633113,0.7619261890616984,0.12351517973268349,1.0060229952081523,1.6942865233831046,0.7931642990572206,0.6322717413153882,0.5419487925055405,0.08597773378469174,-0.859549668948206,-1.552151117257359,1.3904416749055013,0.1480796653794105,-0.9379745210399215,-1.5337538575340819,-0.4091520580109766,-0.7016654797844738,0.1504839362238315,0.5154451127784937,0.5212412764065678,-0.05120853506280851,-1.9317841585858468,0.003380730849265198,-1.0936832961518757,-0.004710231867126023,,-0.1199159036144986,-0.1694198186136068,,,,-0.083982354966477
1982-04,-0.14415395237050155,-2.9639050612150686,-0.5176051012147019,-0.03343737091824287,0.13268427786636489,,-0.015371253154182968,-0.6285179957484749,0.2639580417543318,-1.0048012715595276,-0.6881887791590782,-0.9045346255377722,-0.3490991609811453,-0.6989376895206392,0.26814964465395397,-0.8583823425284308,0.4123893945532032,0.21358314900000147,-1.1041615124874142,0.026966190437181965,-0.13677205036317314,0.03918860572474039,-0.31226722113589667,-0.55870457899775,0.1557465763839956,1.5147732105058382,1.304609192502975,0.7683585434674215,0.17386974260268234,-0.3184417989295055,0.3976173594134345,0.9845781842938869,1.145337689806972,-1.0276489285846437,-1.0770663652211863,-0.2748172229676355,-0.40280281291526454,-0.8771133546940472,-1.2174210536904078,1.1915025507743964,-0.4684607569164546,0.42529100100022676,0.45770164480296566,-0.5651339788205594,0.12303130422496743,0.42570162593122485,0.27648068321861163,0.07248501557206437,0.14381371108851906,0.10654816343505312,0.23463118549558729,0.35376906279950926,-0.06869835559544803,-0.009075005668236455,0.12633665488909773,-0.025421424726678063,-0.09130170787287363,0.0007354222645566062,-0.22603654312734697,0.00035934094873078023
1982-05,-0.11638691200990865,-2.819489571586565,0.005163143154261274,0.6114262110764418,-0.04821498408090227,,-0.46105115530150453,-0.8015652613785447,0.6503004964276817,-1.5437093827851422,-0.7747782069489996,-1.2536697052167283,-0.18946927937739724,-2.4737366890606003,-0.37179100571722273,-1.5801507370249097,-0.5528489074062767,-0.7627457502912477,-1.5447852163195095,0.05701776270652895,-0.026206383278216398,-0.12740261882040532,-0.1796465325664701,-0.6806684194878738,1.2136296010135867,0.37021717447468133,-0.7747744556225467,1.5962136611003117,0.5755530395691167,0.35678819356499536,1.2199238984556875,1.5331002815907706,2.2432353569592274,-0.9776283482091438,-0.8394329343715579,-0.7063733435693521,0.17809481025012217,-1.0780102047498832,-1.4047263050289178,0.8810170815214671,0.9338931768904984,0.19828860705553897,0.5857489084877233,0.6055560835546603,-0.11491091497130461,0.2737265700006029,0.08483731871075521,-0.038841936495724774,-0.16913477458452708,-0.0691229510155581,-0.047495147596075885,0.35245664691785333,0.06863738029581382,-0.04207609830105829,-0.019582390788382174,0.2750200956784683,0.2642901716725863,0.03060149448550142,0.5574073145616186,-0.03618597374628628
1982-06,-0.08832110148374038,-2.819489571586565,1.0506996318921877,-0.03343737091824287,-0.4056251117739798,,0.08542986929866023,2.1609462802252537,2.9244907285555923,-3.405083039912522,-0.9535302742988457,-0.6378836865922274,-1.019073233221522,-3.3219868623789393,-2.44714427772694,-1.8628789882361518,-0.7948909791565619,0.5641435345445988,-3.052837805513571,0.012472235207111845,-0.16624732967172642,-0.7335360445017239,0.4287549237690716,-3.010841588946793,0.09380449547826551,1.6094126996663898,0.9968687658596387,1.320336724664505,-0.3282759962731498,0.49183419206389795,0.6717195390941856,0.7981477415202923,0.5963888562308495,1.1098229166686864,2.069342058372097,0.1248363747279156,0.07934040234641414,-0.49624745083894023,-1.149462196619965,1.4165382959968345,0.7125000147757047,-0.05032596235989856,-0.9162295148250482,-2.8398652469798504,0.03178167385962543,-0.5516878915928612,0.05172589636452209,0.3622973856184678,0.008426703827503289,0.09175105917576484,-0.15729343814683422,-0.6808191567307191,0.09080150514800506,0.04234481966559913,0.010492872079748673,0.0462615086480467,-0.12667528515724963,-0.004212655024447507,-0.11110148109965287,0.0897070252886064
1982-07,-0.5206169091468308,-2.819489571586565,-0.5176051012147019,-0.03343737091824287,-0.010454721773743798,,-0.1080941055308862,-1.4382985938591728,-1.8259871715976836,-0.27927987888832834,-1.0530585457054407,-1.192971346918294,-0.7016387311425847,1.2305177061146455,0.8156946168403192,-0.8444422148611194,0.9691341119831313,-1.9015218127662838,-0.5235145551232554,0.05595173367886242,-0.02604094763509444,0.1082349051557534,-0.4644571000496802,0.4086872942324848,0.7026199944762627,2.0864730237162665,1.380182806026325,1.608169033159621,-1.4308146708810197,2.5175241695474075,1.0828728086153128,-0.37978578196350854,0.04744002265472681,-2.6994557320524404,-1.320112587407992,-0.5385628422400739,-2.7718826463464814,-0.9848907570379246,-1.213121343636092,1.236759835315295,0.49663155605922094,-0.15624935083324,0.11648994206636529,1.3290494222131901,-0.06920805472329492,-0.21651297273667736,-0.48280122190228314,-0.4639687757066645,-0.04223229402435497,-0.14206138640261765,-0.096309809346051,0.1282650324174658,0.012268066725304241,0.22577972094420967,0.04987492533992166,-0.23716463981938332,-0.038138136689417915,0.13918730321797296,-0.28504642602352,0.024804413169949417
1982-08,-0.0611925632072548,-2.5306585923295692,0.005163143154261274,-0.03343737091824287,1.5667963262013436,,0.7744122390435758,-0.4175496913850037,0.7349437133770488,-1.2604940313082336,-0.9205500622702922,-1.362658153747286,-0.33501689436573634,-0.6257902428082057,0.3680489292012408,-1.243449064269619,-1.4811582039418902,-1.5856221278877742,-0.8820223316029367,0.07750046590822529,-0.11385636966072125,-0.03138571434556061,-0.10358227144671181,-0.6034887622239922,-1.5112793097735813,-0.49992973736818946,-0.23373710929123162,-0.49528600379426263,1.950622522010068,-1.2637637884218116,-2.069302257713322,1.1705054733344165,1.6942865233831046,-0.03420716628365022,-0.03216703409332898,-0.3070251741935278,0.5376961275265886,-0.19328078927526912,-1.183220254536163,1.5745192747615808,-0.6947860205582908,0.16015892204656199,0.022914815208329224,-0.3741919530419224,-0.24899869712748732,0.8194435068547122,1.1127332056918717,0.8695780528717101,-0.19694978623145606,-0.33561022978779886,0.1081583771408086,0.08738243486504306,-0.0592396410100215,0.01638468731057558,-0.04423276654527433,-0.09488326154381756,-0.2900328449830118,-0.06415129376494096,-0.16834438115392758,0.016528071002460343
1982-09,-0.0032641257856763383,-2.9639050612150686,0.005163143154261274,-0.03343737091824287,-0.655773597570186,,-0.349418594494719,0.02526645909977108,0.06983151555801337,-2.3278187797575502,-0.7431199291159122,-1.9066612049529013,0.42295879570859723,-0.8841591317507965,0.3664956175347759,-1.0430857927193655,-3.0410888867723043,-0.5109503001436984,-1.554331509710971,0.034696399413580735,-0.11993253613896745,-0.23690151288262232,-0.39014939363221174,-2.2287052805473992,0.7623202058651047,0.25137286618683835,0.12398054122960125,0.24587052996052652,-0.2548943788221625,0.7619261890616984,-0.15058699994806873,0.06047141429386825,0.04744002265472681,0.7588078252123749,-0.6334194911452966,0.5375003339564406,1.1307386049773582,-0.7201194692489298,-1.2002645868276112,1.429393449823632,-0.11032981825240097,0.12133530661104264,0.7698321623064117,1.8109975547388912,0.20447001324685427,-0.5642745761561742,-0.811963375887325,-0.6623873466356871,0.1525238632616457,0.28281829419128446,-0.05836764045851456,0.5355259207361347,-0.040418863678381795,-0.09326107961008173,0.029719601985543038,0.04917783082603189,0.24381685367847986,0.0051814787429029134,0.037522795802042284,-0.06416670729629602
1982-10,-0.17801816328777836,-3.541567019729071,0.005163143154261274,-0.6783009529129276,-0.4534558314156286,,-0.6002929586798145,-0.6946685111579933,0.7464464389519686,-2.4360222680536725,-1.1128123897285138,-1.8173173443656037,-0.26680628790714317,-0.4265715265686944,-0.6670121049182575,-1.3324654276938845,-2.878450584092921,-1.3333762359313945,-1.705379054131096,0.01721316609683264,-0.1645796763679736,-0.12424715906107375,-0.06563715046971343,-2.137284722299414,1.4435604855440625,1.1878964645297214,0.31162710910401703,1.449884866547471,0.48964835029843534,0.49183419206390033,1.7681282578171895,1.408066526393375,1.6942865233830948,0.5173119851037624,1.3369997006827465,-0.04555309164714347,-0.09085166743330171,-0.34670025679808736,-0.9829952390344856,1.491835390881281,0.4646706812908557,0.13370594952791034,0.23687171624768635,-0.04766596006361686,0.12021501840597272,-0.7508407917746157,-0.7749916426858774,-0.5069738392839924,0.14711827588691745,0.10817824306188545,-0.1285794417150649,0.13631238970883655,-0.013437952635424381,-0.08659386063568648,-0.14106940872977544,-0.10049144768277365,-0.09597573799658986,-0.10159252118025175,-0.1413123761727253,0.016632714316861957
1982-11,-0.2671624841105843,-3.397151530100568,-1.040373345583628,-0.6783009529129247,0.07680924016836857,,0.016254649395021276,-2.3204766928565914,-1.3807614088127877,-1.0113825020377603,-1.766160385479688,-3.096041227813351,-0.254548984499662,-0.711390872515042,-0.5197087682657074,-2.001154609598386,2.722722340709498,-1.1304081859423203,2.5707126431645575,0.056275901073696157,-0.004920157756298268,-0.06759316427973779,-0.5645811706154656,0.3424006998714271,-0.36018759834625713,1.3168551676961973,0.4662442167840743,1.440341188066906,-0.4616056241802064,0.761926189061696,0.12351517973268349,0.876166578119075,1.6942865233831046,-0.9117307828307615,-1.1525556299024655,-0.7816204790369824,0.6642330533475079,-0.40555764248489473,-0.9208099125532052,0.9749272084127276,-0.1281490387188587,0.2608856699593789,0.4459345262157987,0.3577232137628715,0.49523316684841245,-1.2052602296799317,-1.0482038731088463,-0.5800531926992869,0.1879753626682339,1.1035652734283827,-0.24007229932555146,0.3602461555053669,0.03973065439826956,0.09551519008644303,0.07890081900260314,0.08563397976795856,0.06036502983397837,0.08336947077693507,0.04930705204260754,-0.023746141609556164
1982-12,-0.18056637668607464,-3.1083205508435716,-0.5176051012147019,0.6114262110764389,-0.6874895415467662,,-0.7702850058789092,-0.511307650991874,0.8696918345253309,-1.4757123635876708,-1.226368069232221,-2.1966695302074015,-0.14468521684177338,-0.5590626548521166,-0.17486072914376843,-1.4324274188692654,0.2124865180352803,-0.9178836934482586,-5.794937714462899,0.03929885731011852,-0.09960780952466465,-0.10071901463715287,-0.35493552797592065,-0.7649805111098938,0.38392029136928296,1.6956147391696108,1.7640722617457796,0.6205245839053921,0.2343358879473089,-0.048349801931705176,0.6717195390941856,1.2661706780657351,2.2432353569592274,0.9318551328900577,2.051339314183057,0.3506736312223575,-0.6252872724897811,0.2650917699904254,-0.2684276444911749,1.3638124331070938,-0.7115581979059913,-0.17079422194373975,-0.23286735428391633,0.31826605705258226,-0.03256500491049695,0.5785244829684839,0.736151503589189,0.5793594915511441,0.1535009930329871,-0.3560097331597691,0.28800535642551134,-0.09548517784228328,-0.053178423823016505,0.030798169693473508,0.010407715453644719,0.16676586290081272,0.0024621347148120936,0.024575033175948068,0.19564170596417255,0.07715889715976218
