,kytreasnox,mcaldt,tmnomprc,tmnomprc_flg,tmytm,,,,,
83,2000047,1959/5/29,96.19938058,D,3.843139227,,,,,
84,2000047,1959/6/30,95.98839523,D,4.083101996,,,,,
85,2000047,1959/7/31,95.7766835,D,4.326946625,,,,,
86,2000047,1959/8/31,95.60344971,D,4.483843776,,,,,
87,2000047,1959/9/30,95.31034616,D,4.790058371,,,,,
88,2000047,1959/10/30,95.88539606,D,4.17875259,,,,,
89,2000047,1959/11/30,95.28712462,D,4.814358905,,,,,
90,2000047,1959/12/31,95.25576305,D,4.860466938,,,,,
91,2000047,1960/1/29,95.43657522,D,4.632751821,,,,,
92,2000047,1960/2/29,95.54447153,D,4.557837646,,,,,
93,2000047,1960/3/31,96.45174396,D,3.622661795,,,,,
94,2000047,1960/4/29,95.94899371,D,4.146706151,,,,,
95,2000047,1960/5/31,96.0485349,D,4.031655045,,,,,
96,2000047,1960/6/30,96.88079038,D,3.168892842,,,,,
97,2000047,1960/7/29,97.1883741,D,2.836367231,,,,,
98,2000047,1960/8/31,97.14359024,D,2.897999036,,,,,
99,2000047,1960/9/30,97.20076709,D,2.846958282,,,,,
100,2000047,1960/10/31,97.21235519,D,2.827237158,,,,,
101,2000047,1960/11/30,97.03378439,D,3.011097548,,,,,
102,2000047,1960/12/30,97.40654211,D,2.634900035,,,,,
103,2000047,1961/1/31,97.2552651,D,2.78310651,,,,,
104,2000047,1961/2/28,97.069369,D,2.974431879,,,,,
105,2000047,1961/3/30,97.14514104,D,2.896402646,,,,,
106,2000047,1961/4/28,97.15357689,D,2.871982368,,,,,
107,2000047,1961/5/31,97.11331966,D,2.929164538,,,,,
108,2000047,1961/6/30,97.05458375,D,2.997878169,,,,,
109,2000047,1961/7/31,97.15130905,D,2.89005357,,,,,
110,2000047,1961/8/31,96.99840158,D,3.047568615,,,,,
111,2000047,1961/9/29,97.07435255,D,2.977455546,,,,,
112,2000047,1961/10/31,97.10541005,D,2.937309596,,,,,
113,2000047,1961/11/30,97.07383635,D,2.96982976,,,,,
114,2000047,1961/12/29,96.92184848,D,3.109483526,,,,,
115,2000047,1962/1/31,96.76127972,D,3.29232746,,,,,
116,2000047,1962/2/28,96.91387358,D,3.134750317,,,,,
117,2000047,1962/3/30,97.16235694,D,2.88659098,,,,,
118,2000047,1962/4/30,97.03858221,D,3.006153178,,,,,
119,2000047,1962/5/31,97.09980174,D,2.943085248,,,,,
120,2000047,1962/6/29,96.9836301,D,3.071212776,,,,,
121,2000047,1962/7/31,96.74597854,D,3.308142045,,,,,
122,2000047,1962/8/31,97.01951879,D,3.034113079,,,,,
123,2000047,1962/9/28,97.06490784,D,2.962793342,,,,,
124,2000047,1962/10/31,97.12025783,D,2.922020394,,,,,
125,2000047,1962/11/30,97.12836437,D,2.921678564,,,,,
126,2000047,1962/12/31,97.06594149,D,2.97796293,,,,,
127,2000047,1963/1/31,97.01595918,D,3.029469339,,,,,
128,2000047,1963/2/28,97.08240756,D,2.961000565,,,,,
129,2000047,1963/3/29,96.99406584,D,3.027157841,,,,,
130,2000047,1963/4/30,96.94062523,D,3.098661184,,,,,
131,2000047,1963/5/31,96.91587428,D,3.149945823,,,,,
132,2000047,1963/6/28,96.89774732,D,3.125700749,,,,,
133,2000047,1963/7/31,96.56350961,D,3.487371984,,,,,
134,2000047,1963/8/30,96.36058565,D,3.687089818,,,,,
135,2000047,1963/9/30,96.36033267,D,3.697425743,,,,,
136,2000047,1963/10/31,96.39994268,D,3.666457897,,,,,
137,2000047,1963/11/29,96.2586388,D,3.792366213,,,,,
138,2000047,1963/12/31,96.23325064,D,3.829034315,,,,,
139,2000047,1964/1/31,96.29158493,D,3.789307327,,,,,
140,2000047,1964/2/28,96.1398658,D,3.947426983,,,,,
141,2000047,1964/3/31,96.16501776,D,3.910453515,,,,,
142,2000047,1964/4/30,96.28773988,D,3.782918699,,,,,
143,2000047,1964/5/28,96.24023247,D,3.832269882,,,,,
144,2000047,1964/6/30,96.29099389,D,3.779539295,,,,,
145,2000047,1964/7/31,96.32088241,D,3.758802585,,,,,
146,2000047,1964/8/31,96.25875074,D,3.813030012,,,,,
147,2000047,1964/9/30,96.17763956,D,3.897329232,,,,,
148,2000047,1964/10/30,96.17946437,D,3.906133826,,,,,
149,2000047,1964/11/30,95.8734752,D,4.214083042,,,,,
150,2000047,1964/12/31,96.03062477,D,4.050303742,,,,,
151,2000047,1965/1/29,95.9833867,D,4.077165823,,,,,
152,2000047,1965/2/26,95.86105412,D,4.204003937,,,,,
153,2000047,1965/3/31,95.94444318,D,4.140087895,,,,,
154,2000047,1965/4/30,95.99613684,D,4.097449734,,,,,
155,2000047,1965/5/28,95.97244305,D,4.07739583,,,,,
156,2000047,1965/6/30,96.10159773,D,3.976424446,,,,,
157,2000047,1965/7/30,96.07239742,D,4.017821802,,,,,
158,2000047,1965/8/31,95.91402894,D,4.171792759,,,,,
159,2000047,1965/9/30,95.74673885,D,4.346361748,,,,,
160,2000047,1965/10/29,95.71833465,D,4.352184529,,,,,
161,2000047,1965/11/30,95.66055277,D,4.436416927,,,,,
162,2000047,1965/12/31,95.24448254,D,4.885695663,,,,,
163,2000047,1966/1/31,95.19923831,D,4.919824517,,,,,
164,2000047,1966/2/28,95.14217171,D,4.979786882,,,,,
165,2000047,1966/3/31,95.18909895,D,4.930475753,,,,,
166,2000047,1966/4/29,95.14527806,D,4.990193956,,,,,
167,2000047,1966/5/31,95.03701379,D,5.09037514,,,,,
168,2000047,1966/6/30,95.02180493,D,5.10637952,,,,,
169,2000047,1966/7/29,94.86199963,D,5.245953636,,,,,
170,2000047,1966/8/31,94.24111273,D,5.931365872,,,,,
171,2000047,1966/9/30,94.19205404,D,5.999874272,,,,,
172,2000047,1966/10/31,94.45909536,D,5.700329852,,,,,
173,2000047,1966/11/30,94.70750019,D,5.437698942,,,,,
174,2000047,1966/12/30,95.12372423,D,5.012912366,,,,,
175,2000047,1967/1/31,95.49326331,D,4.611448226,,,,,
176,2000047,1967/2/28,95.43516559,D,4.659540583,,,,,
177,2000047,1967/3/31,95.95521949,D,4.140199891,,,,,
178,2000047,1967/4/28,96.01844409,D,4.029866464,,,,,
179,2000047,1967/5/31,96.10616766,D,3.96081778,,,,,
180,2000047,1967/6/30,95.077903,D,5.06122648,,,,,
181,2000047,1967/7/31,95.01833283,D,5.09607186,,,,,
182,2000047,1967/8/31,94.87684945,D,5.259045692,,,,,
183,2000047,1967/9/29,94.75495919,D,5.358240135,,,,,
184,2000047,1967/10/31,94.61675281,D,5.518444563,,,,,
185,2000047,1967/11/30,94.34509332,D,5.821092065,,,,,
186,2000047,1967/12/29,94.18355576,D,5.943607051,,,,,
187,2000047,1968/1/31,94.66249881,D,5.470239582,,,,,
188,2000047,1968/2/29,94.62131901,D,5.528737582,,,,,
189,2000047,1968/3/29,94.4877711,D,5.685553731,,,,,
190,2000047,1968/4/30,94.26139113,D,5.909850614,,,,,
191,2000047,1968/5/31,94.15426793,D,6.056747575,,,,,
192,2000047,1968/6/28,94.24013841,D,5.900070569,,,,,
193,2000047,1968/7/31,94.74805402,D,5.394888031,,,,,
194,2000047,1968/8/30,94.79271609,D,5.362453307,,,,,
195,2000047,1968/9/30,94.76833374,D,5.373486481,,,,,
196,2000047,1968/10/31,94.53007059,D,5.625219481,,,,,
197,2000047,1968/11/29,94.36546125,D,5.8154386,,,,,
198,2000047,1968/12/31,93.71895976,D,6.486967183,,,,,
199,2000047,1969/1/31,94.1016401,D,6.09617314,,,,,
200,2000047,1969/2/28,93.58189448,D,6.651549341,,,,,
201,2000047,1969/3/28,93.66733365,D,6.488736284,,,,,
202,2000047,1969/4/30,94.00791564,D,6.179119829,,,,,
203,2000047,1969/5/29,93.72537081,D,6.4801267,,,,,
204,2000047,1969/6/30,92.90915793,D,7.354796663,,,,,
205,2000047,1969/7/31,92.92451053,D,7.33827372,,,,,
206,2000047,1969/8/29,92.60902815,D,7.63651138,,,,,
207,2000047,1969/9/30,92.49722353,D,7.799155783,,,,,
208,2000047,1969/10/31,92.91472563,D,7.368993567,,,,,
209,2000047,1969/11/28,92.37964933,D,7.883152324,,,,,
210,2000047,1969/12/31,92.28937607,D,8.024115329,,,,,
211,2000047,1970/1/30,92.33178795,D,8.000088972,,,,,
212,2000047,1970/2/27,93.3326799,D,6.918943575,,,,,
213,2000047,1970/3/31,93.60742911,D,6.606043483,,,,,
214,2000047,1970/4/30,92.78618301,D,7.487244731,,,,,
215,2000047,1970/5/29,92.85396555,D,7.434588051,,,,,
216,2000047,1970/6/30,93.06499912,D,7.187202169,,,,,
217,2000047,1970/7/31,93.43768747,D,6.806189003,,,,,
218,2000047,1970/8/31,93.43000035,D,6.795768944,,,,,
219,2000047,1970/9/30,93.62263885,D,6.589796374,,,,,
220,2000047,1970/10/30,93.89190599,D,6.319915287,,,,,
221,2000047,1970/11/30,95.03194431,D,5.095709498,,,,,
222,2000047,1970/12/31,95.2347225,D,4.88255785,,,,,
223,2000047,1971/1/29,95.7591131,D,4.309823173,,,,,
224,2000047,1971/2/26,96.26888881,D,3.771499791,,,,,
225,2000047,1971/3/31,96.31389482,D,3.755759073,,,,,
226,2000047,1971/4/30,95.56468443,D,4.549148012,,,,,
227,2000047,1971/5/28,95.17737523,D,4.889212301,,,,,
228,2000047,1971/6/30,94.10841721,D,6.055678614,,,,,
229,2000047,1971/7/30,94.04134793,D,6.110082961,,,,,
230,2000047,1971/8/31,94.855666,D,5.266945628,,,,,
231,2000047,1971/9/30,94.86876193,D,5.267570287,,,,,
232,2000047,1971/10/29,95.48177789,D,4.585784967,,,,,
233,2000047,1971/11/30,95.35891598,D,4.7392509,,,,,
234,2000047,1971/12/31,95.91803114,D,4.179069851,,,,,
235,2000047,1972/1/31,95.94858161,D,4.124474787,,,,,
236,2000047,1972/2/29,95.80250245,D,4.28813797,,,,,
237,2000047,1972/3/30,95.18527963,D,4.934488187,,,,,
238,2000047,1972/4/28,95.56699773,D,4.509553864,,,,,
239,2000047,1972/5/31,95.4780544,D,4.627376181,,,,,
240,2000047,1972/6/30,94.90123326,D,5.247726071,,,,,
241,2000047,1972/7/31,95.17388915,D,4.946455546,,,,,
242,2000047,1972/8/31,94.66564125,D,5.481906842,,,,,
243,2000047,1972/9/29,94.52705871,D,5.643868598,,,,,
244,2000047,1972/10/31,94.61366314,D,5.536828973,,,,,
245,2000047,1972/11/30,94.75035156,D,5.392463163,,,,,
246,2000047,1972/12/29,94.59652829,D,5.524668779,,,,,
247,2000047,1973/1/31,94.04102492,D,6.143906358,,,,,
248,2000047,1973/2/28,93.7964886,D,6.404276564,,,,,
249,2000047,1973/3/30,93.32235604,D,6.930035934,,,,,
250,2000047,1973/4/30,93.51867882,D,6.700899616,,,,,
251,2000047,1973/5/31,93.29142694,D,6.944196935,,,,,
252,2000047,1973/6/29,92.74128573,D,7.556346985,,,,,
253,2000047,1973/7/31,91.73550754,D,8.626066754,,,,,
254,2000047,1973/8/31,91.99495638,D,8.366565703,,,,,
255,2000047,1973/9/28,92.58712558,D,7.66003585,,,,,
256,2000047,1973/10/31,93.12589569,D,7.121789124,,,,,
257,2000047,1973/11/30,92.86349812,D,7.424294184,,,,,
258,2000047,1973/12/31,93.12355057,D,7.124307373,,,,,
259,2000047,1974/1/31,93.34635091,D,6.885340715,,,,,
260,2000047,1974/2/28,93.2202338,D,7.020538696,,,,,
261,2000047,1974/3/29,92.16429734,D,8.11526886,,,,,
262,2000047,1974/4/30,91.69495677,D,8.670280533,,,,,
263,2000047,1974/5/31,92.04235266,D,8.314916952,,,,,
264,2000047,1974/6/28,91.70846698,D,8.608378541,,,,,
265,2000047,1974/7/31,91.70671513,D,8.657458003,,,,,
266,2000047,1974/8/30,90.80028904,D,9.677285255,,,,,
267,2000047,1974/9/30,92.41142598,D,7.891955715,,,,,
268,2000047,1974/10/31,92.64351069,D,7.641127687,,,,,
269,2000047,1974/11/29,92.78341139,D,7.510809768,,,,,
270,2000047,1974/12/31,93.35571519,D,6.875309459,,,,,
